"","pclass","survived","sex","age","sibsp","parch"
"881","3rd",1,"male",29,0,0
"882","3rd",1,"male",21,0,0
"884","3rd",0,"male",20,0,0
"885","3rd",0,"male",48,0,0
"886","3rd",0,"male",17,1,0
"889","3rd",0,"male",34,0,0
"890","3rd",1,"male",26,0,0
"891","3rd",0,"male",22,0,0
"892","3rd",0,"male",33,0,0
"893","3rd",0,"male",31,0,0
"894","3rd",0,"male",29,0,0
"895","3rd",1,"male",4,1,1
"896","3rd",1,"female",1,1,1
"897","3rd",0,"male",49,0,0
"898","3rd",0,"male",33,0,0
"899","3rd",0,"male",19,0,0
"900","3rd",1,"female",27,0,2
"905","3rd",0,"male",23,0,0
"906","3rd",1,"male",32,0,0
"907","3rd",0,"male",27,0,0
"908","3rd",0,"female",20,1,0
"909","3rd",0,"female",21,1,0
"910","3rd",1,"male",32,0,0
"911","3rd",0,"male",17,0,0
"912","3rd",0,"male",21,0,0
"913","3rd",0,"male",30,0,0
"914","3rd",1,"male",21,0,0
"915","3rd",0,"male",33,0,0
"916","3rd",0,"male",22,0,0
"917","3rd",1,"female",4,0,1
"918","3rd",1,"male",39,0,1
"920","3rd",0,"male",18.5,0,0
"925","3rd",0,"male",34.5,0,0
"926","3rd",0,"male",44,0,0
"933","3rd",0,"female",22,2,0
"934","3rd",0,"male",26,2,0
"935","3rd",1,"female",4,0,2
"936","3rd",1,"male",29,3,1
"937","3rd",1,"female",26,1,1
"938","3rd",0,"female",1,1,1
"939","3rd",0,"male",18,1,1
"940","3rd",0,"female",36,0,2
"942","3rd",1,"male",25,0,0
"944","3rd",0,"female",37,0,0
"948","3rd",1,"female",22,0,0
"950","3rd",1,"male",26,0,0
"951","3rd",0,"male",29,0,0
"952","3rd",0,"male",29,0,0
"953","3rd",0,"male",22,0,0
"954","3rd",1,"male",22,0,0
"960","3rd",0,"male",32,0,0
"961","3rd",0,"male",34.5,0,0
"964","3rd",0,"male",36,0,0
"965","3rd",0,"male",39,0,0
"966","3rd",0,"male",24,0,0
"967","3rd",0,"female",25,0,0
"968","3rd",0,"female",45,0,0
"969","3rd",0,"male",36,1,0
"970","3rd",0,"female",30,1,0
"971","3rd",1,"male",20,1,0
"973","3rd",0,"male",28,0,0
"975","3rd",0,"male",30,1,0
"976","3rd",0,"female",26,1,0
"978","3rd",0,"male",20.5,0,0
"979","3rd",1,"male",27,0,0
"980","3rd",0,"male",51,0,0
"981","3rd",1,"female",23,0,0
"982","3rd",1,"male",32,0,0
"986","3rd",1,"male",24,0,0
"987","3rd",0,"male",22,0,0
"991","3rd",0,"male",29,0,0
"993","3rd",0,"female",30.5,0,0
"996","3rd",0,"male",35,0,0
"997","3rd",0,"male",33,0,0
"1008","3rd",1,"female",15,0,0
"1009","3rd",0,"female",35,0,0
"1011","3rd",0,"male",24,1,0
"1012","3rd",0,"female",19,1,0
"1016","3rd",0,"male",55.5,0,0
"1018","3rd",1,"male",21,0,0
"1020","3rd",0,"male",24,0,0
"1021","3rd",0,"male",21,0,0
"1022","3rd",0,"male",28,0,0
"1025","3rd",0,"male",25,0,0
"1026","3rd",1,"male",6,0,1
"1027","3rd",1,"female",27,0,1
"1032","3rd",0,"male",34,0,0
"1041","3rd",1,"female",24,0,0
"1046","3rd",0,"male",18,0,0
"1047","3rd",0,"male",22,0,0
"1048","3rd",1,"female",15,0,0
"1049","3rd",1,"female",1,0,2
"1050","3rd",1,"male",20,1,1
"1051","3rd",1,"female",19,1,1
"1052","3rd",0,"male",33,0,0
"1057","3rd",1,"male",12,1,0
"1058","3rd",1,"female",14,1,0
"1059","3rd",0,"female",29,0,0
"1060","3rd",0,"male",28,0,0
"1061","3rd",1,"female",18,0,0
"1062","3rd",1,"female",26,0,0
"1063","3rd",0,"male",21,0,0
"1064","3rd",0,"male",41,0,0
"1065","3rd",1,"male",39,0,0
"1066","3rd",0,"male",21,0,0
"1067","3rd",0,"male",28.5,0,0
"1068","3rd",1,"female",22,0,0
"1069","3rd",0,"male",61,0,0
"1076","3rd",0,"male",23,0,0
"1080","3rd",1,"female",22,0,0
"1083","3rd",1,"male",9,0,1
"1084","3rd",0,"male",28,0,0
"1085","3rd",0,"male",42,0,1
"1087","3rd",0,"female",31,0,0
"1088","3rd",0,"male",28,0,0
"1089","3rd",1,"male",32,0,0
"1090","3rd",0,"male",20,0,0
"1091","3rd",0,"female",23,0,0
"1092","3rd",0,"female",20,0,0
"1093","3rd",0,"male",20,0,0
"1094","3rd",0,"male",16,0,0
"1095","3rd",1,"female",31,0,0
"1097","3rd",0,"male",2,3,1
"1098","3rd",0,"male",6,3,1
"1099","3rd",0,"female",3,3,1
"1100","3rd",0,"female",8,3,1
"1101","3rd",0,"female",29,0,4
"1102","3rd",0,"male",1,4,1
"1103","3rd",0,"male",7,4,1
"1104","3rd",0,"male",2,4,1
"1105","3rd",0,"male",16,4,1
"1106","3rd",0,"male",14,4,1
"1107","3rd",0,"female",41,0,5
"1108","3rd",0,"male",21,0,0
"1109","3rd",0,"male",19,0,0
"1111","3rd",0,"male",32,0,0
"1112","3rd",0,"male",0.75,1,1
"1113","3rd",0,"female",3,1,1
"1114","3rd",0,"female",26,0,2
"1118","3rd",0,"male",21,0,0
"1119","3rd",0,"male",25,0,0
"1120","3rd",0,"male",22,0,0
"1121","3rd",1,"male",25,1,0
"1126","3rd",0,"male",24,0,0
"1127","3rd",0,"female",28,0,0
"1128","3rd",0,"male",19,0,0
"1130","3rd",0,"male",25,1,0
"1131","3rd",0,"female",18,0,0
"1132","3rd",1,"male",32,0,0
"1134","3rd",0,"male",17,0,0
"1135","3rd",0,"male",24,0,0
"1140","3rd",0,"male",38,0,0
"1141","3rd",0,"male",21,0,0
"1142","3rd",0,"male",10,4,1
"1143","3rd",0,"male",4,4,1
"1144","3rd",0,"male",7,4,1
"1145","3rd",0,"male",2,4,1
"1146","3rd",0,"male",8,4,1
"1147","3rd",0,"female",39,0,5
"1148","3rd",0,"female",22,0,0
"1149","3rd",0,"male",35,0,0
"1153","3rd",0,"male",50,1,0
"1154","3rd",0,"female",47,1,0
"1157","3rd",0,"female",2,1,1
"1158","3rd",0,"male",18,1,1
"1159","3rd",0,"female",41,0,2
"1161","3rd",0,"male",50,0,0
"1162","3rd",0,"male",16,0,0
"1166","3rd",0,"male",25,0,0
"1170","3rd",0,"male",38.5,0,0
"1172","3rd",0,"male",14.5,8,2
"1182","3rd",0,"male",24,0,0
"1183","3rd",1,"female",21,0,0
"1184","3rd",0,"male",39,0,0
"1188","3rd",1,"female",1,1,1
"1189","3rd",1,"female",24,0,2
"1190","3rd",1,"female",4,1,1
"1191","3rd",1,"male",25,0,0
"1192","3rd",0,"male",20,0,0
"1193","3rd",0,"male",24.5,0,0
"1197","3rd",1,"male",29,0,0
"1202","3rd",0,"male",22,0,0
"1204","3rd",0,"male",40,0,0
"1205","3rd",0,"male",21,0,0
"1206","3rd",1,"female",18,0,0
"1207","3rd",0,"male",4,3,2
"1208","3rd",0,"male",10,3,2
"1209","3rd",0,"female",9,3,2
"1210","3rd",0,"female",2,3,2
"1211","3rd",0,"male",40,1,4
"1212","3rd",0,"female",45,1,4
"1218","3rd",0,"male",19,0,0
"1219","3rd",0,"male",30,0,0
"1221","3rd",0,"male",32,0,0
"1223","3rd",0,"male",33,0,0
"1224","3rd",1,"female",23,0,0
"1225","3rd",0,"male",21,0,0
"1226","3rd",0,"male",60.5,0,0
"1227","3rd",0,"male",19,0,0
"1228","3rd",0,"female",22,0,0
"1229","3rd",1,"male",31,0,0
"1230","3rd",0,"male",27,0,0
"1231","3rd",0,"female",2,0,1
"1232","3rd",0,"female",29,1,1
"1233","3rd",1,"male",16,0,0
"1234","3rd",1,"male",44,0,0
"1235","3rd",0,"male",25,0,0
"1236","3rd",0,"male",74,0,0
"1237","3rd",1,"male",14,0,0
"1238","3rd",0,"male",24,0,0
"1239","3rd",1,"male",25,0,0
"1240","3rd",0,"male",34,0,0
"1241","3rd",1,"male",0.416700006,0,1
"1245","3rd",1,"female",16,1,1
"1249","3rd",0,"male",32,0,0
"1252","3rd",0,"male",30.5,0,0
"1253","3rd",0,"male",44,0,0
"1255","3rd",1,"male",25,0,0
"1257","3rd",1,"male",7,1,1
"1258","3rd",1,"female",9,1,1
"1259","3rd",1,"female",29,0,2
"1260","3rd",0,"male",36,0,0
"1261","3rd",1,"female",18,0,0
"1262","3rd",1,"female",63,0,0
"1264","3rd",0,"male",11.5,1,1
"1265","3rd",0,"male",40.5,0,2
"1266","3rd",0,"female",10,0,2
"1267","3rd",0,"male",36,1,1
"1268","3rd",0,"female",30,1,1
"1270","3rd",0,"male",33,0,0
"1271","3rd",0,"male",28,0,0
"1272","3rd",0,"male",28,0,0
"1273","3rd",0,"male",47,0,0
"1274","3rd",0,"female",18,2,0
"1275","3rd",0,"male",31,3,0
"1276","3rd",0,"male",16,2,0
"1277","3rd",0,"female",31,1,0
"1278","3rd",1,"male",22,0,0
"1279","3rd",0,"male",20,0,0
"1280","3rd",0,"female",14,0,0
"1281","3rd",0,"male",22,0,0
"1282","3rd",0,"male",22,0,0
"1286","3rd",0,"male",32.5,0,0
"1287","3rd",1,"female",38,0,0
"1288","3rd",0,"male",51,0,0
"1289","3rd",0,"male",18,1,0
"1290","3rd",0,"male",21,1,0
"1291","3rd",1,"female",47,1,0
"1295","3rd",0,"male",28.5,0,0
"1296","3rd",0,"male",21,0,0
"1297","3rd",0,"male",27,0,0
"1299","3rd",0,"male",36,0,0
"1300","3rd",0,"male",27,1,0
"1301","3rd",1,"female",15,1,0
"1302","3rd",0,"male",45.5,0,0
"1305","3rd",0,"female",14.5,1,0
"1307","3rd",0,"male",26.5,0,0
"1308","3rd",0,"male",27,0,0
"1309","3rd",0,"male",29,0,0
